id,freq_hz,counts,substrain,noise_spl,abr_time
C106,16000.0,3.0,CaJ,103,ZT3
C106,24000.0,9.2,CaJ,103,ZT3
C106,32000.0,2.3,CaJ,103,ZT3
C106,48000.0,0.9,CaJ,103,ZT3
C106,64000.0,0.6,CaJ,103,ZT3
C107,6000.0,3.9,CaJ,103,ZT3
C107,8000.0,9.5,CaJ,103,ZT3
C107,12000.0,9.5,CaJ,103,ZT3
C107,16000.0,6.0,CaJ,103,ZT3
C107,24000.0,3.3,CaJ,103,ZT3
C107,32000.0,5.9,CaJ,103,ZT3
C107,48000.0,3.6,CaJ,103,ZT3
C107,64000.0,0.0,CaJ,103,ZT3
C109,6000.0,9.4,CaJ,103,ZT3
C109,8000.0,11.7,CaJ,103,ZT3
C109,12000.0,5.4,CaJ,103,ZT3
C109,16000.0,7.9,CaJ,103,ZT3
C109,24000.0,14.4,CaJ,103,ZT3
C109,32000.0,6.5,CaJ,103,ZT3
C109,48000.0,1.17,CaJ,103,ZT3
C109,64000.0,4.1,CaJ,103,ZT3
C112,6000.0,4.5,CaJ,103,ZT3
C112,8000.0,8.9,CaJ,103,ZT3
C112,12000.0,11.3,CaJ,103,ZT3
C112,16000.0,14.6,CaJ,103,ZT3
C112,24000.0,15.4,CaJ,103,ZT3
C112,32000.0,0.9,CaJ,103,ZT3
C112,48000.0,0.0,CaJ,103,ZT3
C112,64000.0,5.3,CaJ,103,ZT3
C116,6000.0,6.5,CaJ,103,ZT3
C116,8000.0,10.3,CaJ,103,ZT3
C116,12000.0,21.1,CaJ,103,ZT3
C116,16000.0,13.0,CaJ,103,ZT3
C116,24000.0,5.0,CaJ,103,ZT3
C116,32000.0,5.3,CaJ,103,ZT3
C116,48000.0,2.1,CaJ,103,ZT3
C350,6000.0,6.1,CaJ,103,ZT3
C350,8000.0,5.6,CaJ,103,ZT3
C350,12000.0,16.2,CaJ,103,ZT3
C350,16000.0,10.7,CaJ,103,ZT3
C350,24000.0,15.5,CaJ,103,ZT3
C350,32000.0,8.4,CaJ,103,ZT3
C350,48000.0,13.3,CaJ,103,ZT3
C351,6000.0,15.7,CaJ,103,ZT3
C351,8000.0,15.7,CaJ,103,ZT3
C351,16000.0,24.9,CaJ,103,ZT3
C351,24000.0,26.9,CaJ,103,ZT3
C351,32000.0,5.6,CaJ,103,ZT3
C351,48000.0,21.6,CaJ,103,ZT3
C311,6000.0,12.3,CaJ,103,ZT3
C311,8000.0,8.2,CaJ,103,ZT3
C311,16000.0,15.6,CaJ,103,ZT3
C311,24000.0,11.7,CaJ,103,ZT3
C311,48000.0,3.9,CaJ,103,ZT3
C52,6000.0,4.4,CaJ,105,ZT3
C52,8000.0,16.3,CaJ,105,ZT3
C52,12000.0,13.6,CaJ,105,ZT3
C52,16000.0,10.7,CaJ,105,ZT3
C52,24000.0,6.9,CaJ,105,ZT3
C52,32000.0,7.25,CaJ,105,ZT3
C52,48000.0,7.5,CaJ,105,ZT3
C52,64000.0,4.5,CaJ,105,ZT3
C54,6000.0,6.6,CaJ,105,ZT3
C54,8000.0,17.3,CaJ,105,ZT3
C54,12000.0,13.4,CaJ,105,ZT3
C54,16000.0,14.8,CaJ,105,ZT3
C54,24000.0,10.8,CaJ,105,ZT3
C54,32000.0,5.8,CaJ,105,ZT3
C54,48000.0,9.14,CaJ,105,ZT3
C54,64000.0,4.6,CaJ,105,ZT3
C58,6000.0,10.7,CaJ,105,ZT3
C58,8000.0,11.9,CaJ,105,ZT3
C58,12000.0,16.5,CaJ,105,ZT3
C58,16000.0,17.1,CaJ,105,ZT3
C58,24000.0,9.9,CaJ,105,ZT3
C58,32000.0,4.6,CaJ,105,ZT3
C58,48000.0,8.8,CaJ,105,ZT3
C59,6000.0,10.0,CaJ,105,ZT3
C59,8000.0,15.6,CaJ,105,ZT3
C59,12000.0,11.0,CaJ,105,ZT3
C59,16000.0,9.0,CaJ,105,ZT3
C59,24000.0,10.75,CaJ,105,ZT3
C59,32000.0,6.5,CaJ,105,ZT3
C53,6000.0,10.3,CaJ,105,ZT3
C53,8000.0,11.7,CaJ,105,ZT3
C53,12000.0,15.0,CaJ,105,ZT3
C53,16000.0,12.7,CaJ,105,ZT3
C53,24000.0,8.1,CaJ,105,ZT3
C46052,6000.0,12.7,JRj,100,ZT3
C46052,8000.0,8.7,JRj,100,ZT3
C46052,12000.0,10.9,JRj,100,ZT3
C46052,16000.0,19.1,JRj,100,ZT3
C46052,24000.0,13.6,JRj,100,ZT3
C46052,32000.0,12.1,JRj,100,ZT3
C46052,48000.0,11.8,JRj,100,ZT3
C46052,64000.0,9.2,JRj,100,ZT3
C46085,6000.0,8.3,JRj,100,ZT3
C46085,8000.0,11.0,JRj,100,ZT3
C46085,12000.0,10.6,JRj,100,ZT3
C46085,16000.0,18.8,JRj,100,ZT3
C46085,24000.0,14.8,JRj,100,ZT3
C46085,32000.0,7.8,JRj,100,ZT3
C46085,48000.0,8.0,JRj,100,ZT3
C46085,64000.0,14.5,JRj,100,ZT3
C46083,6000.0,9.2,JRj,100,ZT3
C46083,8000.0,15.8,JRj,100,ZT3
C46083,12000.0,7.9,JRj,100,ZT3
C46083,16000.0,12.1,JRj,100,ZT3
C46083,24000.0,14.1,JRj,100,ZT3
C46083,32000.0,9.4,JRj,100,ZT3
C46083,48000.0,10.6,JRj,100,ZT3
C46083,64000.0,10.6,JRj,100,ZT3
C46051,6000.0,11.1,JRj,100,ZT3
C46051,8000.0,13.8,JRj,100,ZT3
C46051,12000.0,15.6,JRj,100,ZT3
C46051,16000.0,12.7,JRj,100,ZT3
C46051,24000.0,9.1,JRj,100,ZT3
C46051,48000.0,12.3,JRj,100,ZT3
x215346,6000.0,11.6,JRj,103,ZT3
x215346,8000.0,18.9,JRj,103,ZT3
x215346,12000.0,22.1,JRj,103,ZT3
x215346,16000.0,14.1,JRj,103,ZT3
x215346,24000.0,21.3,JRj,103,ZT3
x215346,32000.0,24.0,JRj,103,ZT3
x215346,48000.0,11.1,JRj,103,ZT3
x215346,64000.0,10.3,JRj,103,ZT3
x215340,6000.0,10.4,JRj,103,ZT3
x215340,8000.0,9.3,JRj,103,ZT3
x215340,12000.0,13.6,JRj,103,ZT3
x215340,16000.0,12.0,JRj,103,ZT3
x215340,24000.0,13.1,JRj,103,ZT3
x215340,32000.0,9.6,JRj,103,ZT3
x215340,48000.0,6.8,JRj,103,ZT3
x215340,64000.0,9.5,JRj,103,ZT3
x215341,6000.0,10.3,JRj,103,ZT3
x215341,8000.0,14.2,JRj,103,ZT3
x215341,12000.0,15.2,JRj,103,ZT3
x215341,16000.0,15.1,JRj,103,ZT3
x215341,24000.0,11.0,JRj,103,ZT3
x215341,32000.0,12.5,JRj,103,ZT3
x215341,48000.0,20.3,JRj,103,ZT3
x215341,64000.0,10.4,JRj,103,ZT3
x215342,6000.0,8.8,JRj,103,ZT3
x215342,8000.0,13.8,JRj,103,ZT3
x215342,12000.0,13.4,JRj,103,ZT3
x215342,16000.0,11.0,JRj,103,ZT3
x215342,24000.0,10.8,JRj,103,ZT3
x215342,32000.0,9.3,JRj,103,ZT3
x215342,48000.0,4.9,JRj,103,ZT3
x215342,64000.0,7.4,JRj,103,ZT3
I-1655_5,6000.0,9.3,JRj,105,ZT3
I-1655_5,8000.0,11.0,JRj,105,ZT3
I-1655_5,12000.0,9.3,JRj,105,ZT3
I-1655_5,16000.0,11.3,JRj,105,ZT3
I-1655_5,24000.0,6.1,JRj,105,ZT3
I-1655_5,32000.0,9.4,JRj,105,ZT3
I-1655_5,48000.0,5.2,JRj,105,ZT3
I-1655_5,64000.0,4.3,JRj,105,ZT3
I-1655_8,6000.0,9.2,JRj,105,ZT3
I-1655_8,8000.0,10.5,JRj,105,ZT3
I-1655_8,12000.0,9.7,JRj,105,ZT3
I-1655_8,16000.0,9.5,JRj,105,ZT3
I-1655_8,24000.0,8.7,JRj,105,ZT3
I-1655_8,32000.0,8.8,JRj,105,ZT3
I-1655_8,48000.0,8.4,JRj,105,ZT3
I-1655_8,64000.0,8.4,JRj,105,ZT3
I-1658_14,6000.0,5.9,JRj,105,ZT3
I-1658_14,8000.0,9.6,JRj,105,ZT3
I-1658_14,12000.0,10.8,JRj,105,ZT3
I-1658_14,16000.0,13.714,JRj,105,ZT3
I-1658_14,24000.0,13.9,JRj,105,ZT3
I-1658_14,32000.0,7.0,JRj,105,ZT3
I-1658_14,48000.0,10.0,JRj,105,ZT3
I-1658_14,64000.0,5.5,JRj,105,ZT3
I-1658_16,6000.0,4.3,JRj,105,ZT3
I-1658_16,8000.0,12.1,JRj,105,ZT3
I-1658_16,12000.0,10.3,JRj,105,ZT3
I-1658_16,16000.0,12.5,JRj,105,ZT3
I-1658_16,24000.0,8.7,JRj,105,ZT3
I-1658_16,32000.0,13.6,JRj,105,ZT3
I-1658_16,48000.0,12.3,JRj,105,ZT3
I-1658_16,64000.0,4.71429,JRj,105,ZT3
I-1655_6,6000.0,10.9,JRj,105,ZT3
I-1655_6,8000.0,13.1,JRj,105,ZT3
I-1655_6,12000.0,14.1,JRj,105,ZT3
I-1655_6,16000.0,11.7,JRj,105,ZT3
I-1655_6,24000.0,11.0,JRj,105,ZT3
I-1655_6,32000.0,10.3,JRj,105,ZT3
I-1655_6,48000.0,7.9,JRj,105,ZT3
I-1655_6,64000.0,5.9,JRj,105,ZT3
x12911,6000.0,10.8,JRj,105,ZT3
x12911,8000.0,21.2,JRj,105,ZT3
x12911,12000.0,19.0,JRj,105,ZT3
