file_number,substrain,noise_spl,noise_type,abr_time,id,experimenter_id,freq_hz,level_db,f1,f2,level_f1,level_f2,level_distprod
541,CaJ,100,baseline,baseline,C196_3,JF,16000.0,70.0,13328.0,16000.0,70.5579891204834,57.59691047668457,31.71563720703125
541,CaJ,100,baseline,baseline,C196_3,JF,16000.0,65.0,13328.0,16000.0,65.59146022796631,52.60932731628418,28.410762786865234
541,CaJ,100,baseline,baseline,C196_3,JF,16000.0,60.0,13328.0,16000.0,60.592458724975586,47.603694915771484,24.093215942382812
541,CaJ,100,baseline,baseline,C196_3,JF,16000.0,55.0,13328.0,16000.0,55.583457946777344,42.5963134765625,19.008068084716797
541,CaJ,100,baseline,baseline,C196_3,JF,16000.0,50.0,13328.0,16000.0,50.56525802612305,37.58795928955078,13.769935607910156
541,CaJ,100,baseline,baseline,C196_3,JF,16000.0,45.0,13328.0,16000.0,45.55918502807617,32.56704330444336,7.2170867919921875
541,CaJ,100,baseline,baseline,C196_3,JF,16000.0,40.0,13328.0,16000.0,40.55281448364258,27.549530029296875,-0.17157745361328125
541,CaJ,100,baseline,baseline,C196_3,JF,16000.0,35.0,13328.0,16000.0,35.55607604980469,22.496959686279297,-6.895622253417969
541,CaJ,100,baseline,baseline,C196_3,JF,16000.0,30.0,13328.0,16000.0,30.540851593017578,17.638450622558594,-25.38585662841797
541,CaJ,100,baseline,baseline,C196_3,JF,16000.0,25.0,13328.0,16000.0,25.555923461914062,12.371231079101562,-22.03058624267578
541,CaJ,100,baseline,baseline,C196_3,JF,16000.0,20.0,13328.0,16000.0,20.553443908691406,7.2097320556640625,-25.850196838378906
543,CaJ,100,baseline,baseline,C196_3,JF,32000.0,80.0,26656.0,32000.0,67.12380886077881,52.2379207611084,17.115108489990234
543,CaJ,100,baseline,baseline,C196_3,JF,32000.0,75.0,26656.0,32000.0,62.110565185546875,47.22788619995117,11.38385009765625
543,CaJ,100,baseline,baseline,C196_3,JF,32000.0,70.0,26656.0,32000.0,57.13899803161621,42.25273513793945,11.544296264648438
543,CaJ,100,baseline,baseline,C196_3,JF,32000.0,65.0,26656.0,32000.0,52.13865661621094,37.26837158203125,13.771537780761719
543,CaJ,100,baseline,baseline,C196_3,JF,32000.0,60.0,26656.0,32000.0,47.147552490234375,32.27000045776367,12.936676025390625
543,CaJ,100,baseline,baseline,C196_3,JF,32000.0,55.0,26656.0,32000.0,42.174530029296875,27.253894805908203,8.777976989746094
543,CaJ,100,baseline,baseline,C196_3,JF,32000.0,50.0,26656.0,32000.0,37.170902252197266,22.28192138671875,2.9539566040039062
